Season,Crop,Variety,Month,Week 1,Week 2,Week 3,Week 4
Rabi,Groundnut,TMV-2,February,📅 Book Thresher & Labor | ✂️ Start cutting crop by hand or machine,📅 Book Thresher & Labor | ✂️ Dry pods to 7-8% moisture to prevent Aflatoxin | See how much you harvested,Field resting,Field resting
Rabi,Groundnut,TMV-2,March,Field resting,Field resting,Field resting,Field resting
Rabi,Groundnut,DH 3-30,October,🌦️ Check Weather | Ready land and give lime to soil,Green Manuring | Soil test & compost | 🧪 Apply 4 kg/Acre Borax (for pod filling) | 🧪 Spray early morning/evening only,Make soft bed for seeds,💧 Give small amount of water
Rabi,Groundnut,DH 3-30,November,"📅 Book Tractor & Labor | 🌱🧪 Sow (10""x4"") + Apply 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) + Apply 25 kg N First Dose and full dose of P & K at sowing | 🧪 Treat with PSB & Azospirillum",🌱💧 Water when plants start to grow,Remove weeds first time,Monitor moisture
Rabi,Groundnut,DH 3-30,December,🧪 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) (30 DAS) | 🧪 Spray early morning/evening only,🔎 Scout: Tikka leaf spot and Rust,Pull out weeds again,Critical moisture: ensure moisture for peg penetration
Rabi,Groundnut,DH 3-30,January,🧪 Flowering / pegging period | Apply 10 kg Urea for Growth to maximize pod yield | 💧⚠️ DO NOT allow soil to dry now - critical for pod formation | 🧪 Spray early morning/evening only,See if pods are growing well,🧪 Mature pods or seeds forming | Fungicide/insecticide spray | 🧪 Spray early morning/evening only,📅 Book Thresher & Labor | ✂️💧🔎 Inspect field before cutting | Get ready to drain water before harvest
Rabi,Groundnut,DH 3-30,February,📅 Book Thresher & Labor | ✂️ Start cutting crop by hand or machine,📅 Book Thresher & Labor | ✂️ Dry pods to 7-8% moisture to prevent Aflatoxin | See how much you harvested,Field resting,Field resting
Rabi,Groundnut,DH 3-30,March,Field resting,Field resting,Field resting,Field resting
Rabi,Groundnut,DH-40,October,🌦️ Check Weather | Ready land and give lime to soil,Green Manuring | Soil test & compost | 🧪 Apply 4 kg/Acre Borax (for pod filling) | 🧪 Spray early morning/evening only,Make soft bed for seeds,💧 Give small amount of water
Rabi,Groundnut,DH-40,November,"📅 Book Tractor & Labor | 🌱🧪 Sow (10""x4"") + Apply 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) + Apply 25 kg N First Dose and full dose of P & K at sowing | 🧪 Treat with PSB & Azospirillum",🌱💧 Water when plants start to grow,Remove weeds first time,Monitor moisture
Rabi,Groundnut,DH-40,December,🧪 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) (30 DAS) | 🧪 Spray early morning/evening only,🔎 Scout: Tikka leaf spot and Rust,Pull out weeds again,Critical moisture: ensure moisture for peg penetration
Rabi,Groundnut,DH-40,January,🧪 Flowering / pegging period | Apply 10 kg Urea for Growth to maximize pod yield | 💧⚠️ DO NOT allow soil to dry now - critical for pod formation | 🧪 Spray early morning/evening only,See if pods are growing well,🧪 Mature pods or seeds forming | Fungicide/insecticide spray | 🧪 Spray early morning/evening only,📅 Book Thresher & Labor | ✂️💧🔎 Inspect field before cutting | Get ready to drain water before harvest
Rabi,Groundnut,DH-40,February,📅 Book Thresher & Labor | ✂️ Start cutting crop by hand or machine,📅 Book Thresher & Labor | ✂️ Dry pods to 7-8% moisture to prevent Aflatoxin | See how much you harvested,Field resting,Field resting
Rabi,Groundnut,DH-40,March,Field resting,Field resting,Field resting,Field resting
Rabi,Black gram,LBG-17,October,🌦️ Check Weather | Ready land and give lime to soil,Green Manuring | Soil test & compost,Make soft bed for seeds,"🧪🔎 Scout: Aphids, Pod Borer | Apply before weeds come out Pendimethalin | 🧪 Spray early morning/evening only"
Rabi,Black gram,LBG-17,November,📅 Book Tractor & Labor | 🌱🧪 Sowing pulses or peanuts + Apply 50% N and full dose of P & K | 🧪 Treat with PSB & Azospirillum,🌱💧 Water when plants start to grow,Remove weeds first time,🧪 Spray 1% Urea (30 DAS) | Monitor moisture | 🧪 Spray early morning/evening only
Rabi,Black gram,LBG-17,December,Monitor crop health,"🧪🔎 Spray 1% Urea (45 DAS) | Scout: Aphids, Pod Borer, Mosaic Virus | 🧪 Spray early morning/evening only",🔎 Scout for late-stage pests,Check pod maturation
Rabi,Black gram,LBG-17,January,Monitor moisture,Check pod maturation,📅 Book Thresher & Labor | ✂️ Prepare for harvest,"📅 Book Thresher & Labor | ✂️ Harvest when 80% pods turn black | Dry grain to 9-10% moisture | Store with Azadirachtin (10,000 ppm @ 7.5 ml/kg)"
Rabi,Black gram,LBG-17,February,Field resting,Field resting,Field resting,Field resting
Rabi,Black gram,LBG-17,March,Field resting,Field resting,Field resting,Field resting
Summer,Paddy,Shakti,February,🌦️🧪 Check Weather | Prepare land and test soil and apply compost | 🧪 Spray early morning/evening only,📅 Book Tractor & Labor | 🌱 Green Manuring | Sow seeds in trays or beds | 🧪 Treat with PSB & Azospirillum,💧 Water and care for seedlings,💧 Remove weak seedlings and continue watering
Summer,Paddy,Shakti,March,🌱 Move 15–18 day-old seedlings to main field | 🧪 Apply Fertilizer + 8 kg/Acre Zinc (for green leaves) | 🧪 Spray early morning/evening only,🌱💧 Water newly planted seedlings,🌱 Remove unwanted plants and replace missing ones,💧🌾 Water Saving (Keep soil moist but not flooded)
Summer,Paddy,Shakti,April,,"🔎⚠️ Scout: BPH (If you see 5-10 in one hill ), Stem Borer (Check for eggs ), Blast (Prioritize Blast-tolerant varieties like KMP-220)",🧪 Apply 25% N (tillering) split | Pull out weeds | 🧪 Spray early morning/evening only,🌱 Continue plant care and monitoring
Summer,Paddy,Shakti,May,Check if grains are forming,🧪🌾 Apply 25% N (Grain forming stage ) | 🧪 Spray early morning/evening only,💧 Adjust water based on need,"🧪 Spray Tricyclazole for Blast (Prioritize Blast-tolerant varieties like KMP-220), Chlorantraniliprole for Stem Borer (ETL: 1-2 egg masses/sq.m) | 🧪 Spray early morning/evening only"
Summer,Paddy,Shakti,June,📅 Book Thresher & Labor | ✂️💧 Reduce water and stop watering before harvest,Dry grain to 14% moisture (Air-tight Bags),Collect and store rice and remove straw,Clean and repair field and leave land ready for next crop
Summer,Paddy,CTH-1 (Mukti),February,🌦️🧪 Check Weather | Prepare land and test soil and apply compost | 🧪 Spray early morning/evening only,📅 Book Tractor & Labor | 🌱 Green Manuring | Sow seeds in trays or beds | 🧪 Treat with PSB & Azospirillum,💧 Water and care for seedlings,💧 Remove weak seedlings and continue watering
Summer,Paddy,CTH-1 (Mukti),March,🌱 Move 15–18 day-old seedlings to main field | 🧪 Apply Fertilizer + 8 kg/Acre Zinc (for green leaves) | 🧪 Spray early morning/evening only,🌱💧 Water newly planted seedlings,🌱 Remove unwanted plants and replace missing ones,💧🌾 Water Saving (Keep soil moist but not flooded)
Summer,Paddy,CTH-1 (Mukti),April,,"🔎⚠️ Scout: BPH (If you see 5-10 in one hill ), Stem Borer (Check for eggs ), Blast (Prioritize Blast-tolerant varieties like KMP-220)",🧪 Apply 25% N (tillering) split | Pull out weeds | 🧪 Spray early morning/evening only,🌱 Continue plant care and monitoring
Summer,Paddy,CTH-1 (Mukti),May,Check if grains are forming,🧪🌾 Apply 25% N (Grain forming stage ) | 🧪 Spray early morning/evening only,💧 Adjust water based on need,"🧪 Spray Tricyclazole for Blast (Prioritize Blast-tolerant varieties like KMP-220), Chlorantraniliprole for Stem Borer (ETL: 1-2 egg masses/sq.m) | 🧪 Spray early morning/evening only"
Summer,Paddy,CTH-1 (Mukti),June,📅 Book Thresher & Labor | ✂️💧 Reduce water and stop watering before harvest,Dry grain to 14% moisture (Air-tight Bags),Collect and store rice and remove straw,Clean and repair field and leave land ready for next crop
Summer,Groundnut,TMV-2,February,🌦️ Check Weather | Ready land and give lime to soil,Green Manuring | Soil test & compost | 🧪 Apply 4 kg/Acre Borax (for pod filling) | 🧪 Spray early morning/evening only,Make soft bed for seeds,"📅 Book Tractor & Labor | 🌱🧪💧 Sow (10""x4"") + Apply 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) + give small water + Apply 25 kg N First Dose and full dose of P & K at sowing | 🧪 Treat with PSB & Azospirillum"
Summer,Groundnut,TMV-2,March,🌱💧 Water when plants start to grow,Remove weeds first time,Monitor moisture,🧪 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) (30 DAS) | 🧪 Spray early morning/evening only
Summer,Groundnut,TMV-2,April,🔎 Pest / disease scouting,Pull out weeds again,Irrigation if required,🧪 Flowering / pegging period | Apply 10 kg Urea for Growth to maximize pod yield | 💧⚠️ DO NOT allow soil to dry now - critical for pod formation | 🧪 Spray early morning/evening only
Summer,Groundnut,TMV-2,May,See if pods are growing well,🧪 Spray Tebuconazole 2DS or Mancozeb for leaf spots | 🧪 Spray early morning/evening only,📅 Book Thresher & Labor | ✂️💧🔎 Inspect field before cutting | Drain water before harvest,"📅 Book Thresher & Labor | ✂️ Start cutting (hand/machine) | Drying, pod separation, yield check, remove waste"
Summer,Groundnut,TMV-2,June,Field resting,Field resting,Field resting,Field resting
Summer,Groundnut,DH 3-30,February,🌦️ Check Weather | Ready land and give lime to soil,Green Manuring | Soil test & compost | 🧪 Apply 4 kg/Acre Borax (for pod filling) | 🧪 Spray early morning/evening only,Make soft bed for seeds,"📅 Book Tractor & Labor | 🌱🧪💧 Sow (10""x4"") + Apply 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) + give small water + Apply 25 kg N First Dose and full dose of P & K at sowing | 🧪 Treat with PSB & Azospirillum"
Summer,Groundnut,DH 3-30,March,🌱💧 Water when plants start to grow,Remove weeds first time,Monitor moisture,🧪 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) (30 DAS) | 🧪 Spray early morning/evening only
Summer,Groundnut,DH 3-30,April,🔎 Pest / disease scouting,Pull out weeds again,Irrigation if required,🧪 Flowering / pegging period | Apply 10 kg Urea for Growth to maximize pod yield | 💧⚠️ DO NOT allow soil to dry now - critical for pod formation | 🧪 Spray early morning/evening only
Summer,Groundnut,DH 3-30,May,See if pods are growing well,🧪 Spray Tebuconazole 2DS or Mancozeb for leaf spots | 🧪 Spray early morning/evening only,📅 Book Thresher & Labor | ✂️💧🔎 Inspect field before cutting | Drain water before harvest,"📅 Book Thresher & Labor | ✂️ Start cutting (hand/machine) | Drying, pod separation, yield check, remove waste"
Summer,Groundnut,DH 3-30,June,Field resting,Field resting,Field resting,Field resting
Summer,Vegetables,Cucumber,February,🌦️🌱 Check Weather | Clean and level the land for planting,"🌱🧪 Apply Fertilizer kg/ha (50% Nitrogen First Dose, full P&K) | 🧪 Spray early morning/evening only",🌱 Mark planting rows / Prepare irrigation,🌱 Start sowing seeds in nursery trays | Field layout: 1.5 m between channels and 0.6 m between hills
Summer,Vegetables,Cucumber,March,📅 Book Tractor & Labor | 🌱 Transplant seedlings to field (if nursery),🌱💧 Give water first time after sowing,🧪 Weed removal | Apply 25% Urea for Growth | 🧪 Spray early morning/evening only,🧪 Don’t let soil dry up | Apply 25% Urea for Growth (30 DAS) | 🧪 Spray early morning/evening only
Summer,Vegetables,Cucumber,April,🌱🧪 Apply final 25% Urea for Growth (45 DAS) | Monitor plant health | 🧪 Spray early morning/evening only,🔎 Scout: Fruit Fly (Monitor with Pheromone/Fish meal traps) (Cue-lure / Fish meal traps) (Monitor with pheromone traps),Continue irrigation,Remove weeds again
Summer,Vegetables,Cucumber,May,2% neem oil + garlic emulsion for sucking pests,Irrigation (weather dependent),Check crop often,🧪 Use spray to stop disease | 🧪 Spray early morning/evening only
Summer,Vegetables,Cucumber,June,📅 Book Thresher & Labor | ✂️ Harvesting starts,📅 Book Thresher & Labor | ✂️ Keep harvest safe and dry,Measure crop yield,Field cleanup
Summer,Vegetables,Watermelon,February,🌦️🌱 Check Weather | Clean and level the land for planting,🌱🧪 Apply Apply 50% Nitrogen and full Phosphorus/Potassium as First Dose (Fertilizer ) | 🧪 Spray early morning/evening only,🌱 Mark planting rows / Prepare irrigation,📅 Book Tractor & Labor | 🌱 Sow seeds at 250x60 cm spacing
Summer,Vegetables,Watermelon,March,📅 Book Tractor & Labor | 🌱 Transplant seedlings to field (if nursery),🌱💧 Give water first time after sowing,Weed removal,Don’t let soil dry up
Summer,Vegetables,Watermelon,April,🧪 Apply remaining 50% Urea for Growth | 🧪 Spray early morning/evening only,🔎 Scout: Fruit Fly (Monitor with Pheromone/Fish meal traps) (Cue-lure / Fish meal traps) (Monitor with pheromone traps),2% neem oil + garlic emulsion for sucking pests,📅 Book Thresher & Labor | ✂️ Check for withering of the tendril at the fruit axil and a dull sound when thumping the fruit to judge harvest readiness
Summer,Vegetables,Watermelon,May,📅 Book Thresher & Labor | ✂️ Harvest when fruit gives a 'dull' sound when tapped and tendril dries,📅 Book Thresher & Labor | ✂️ Keep harvest safe and dry | Measure crop yield | Field cleanup,Field resting,Field resting
Summer,Vegetables,Watermelon,June,Field resting,Field resting,Field resting,Field resting
Rabi,Green gram,Pusa Vishal,October,🌦️ Check Weather | Prepare seedbed.,🧪 Treat seeds with PSB & Azospirillum and inoculate with Rhizobium. | 🧪 Spray early morning/evening only,"📅 Book Tractor & Labor | 🌱 Sow at Sow seeds 12 inches apart in rows, with 4 inches between seeds spacing.",💧 Irrigate lightly.
Rabi,Green gram,Pusa Vishal,November,🌱 Weed at 20-25 days after sowing.,Growth Dose small nitrogen dose if needed.,Check for yellow mosaic and thrips.,🧪 Spray 1% Urea (30 DAS) | 🧪 Spray early morning/evening only
Rabi,Green gram,Pusa Vishal,December,Monitor for leaf spot,📅 Book Thresher & Labor | ✂️ Prepare for harvest,Check pod maturity,📅 Book Thresher & Labor | ✂️ Harvest when 80% pods mature
Rabi,Green gram,Pusa Vishal,January,"🌱 Dry plants on tarpaulin | Thresh | Store with Azadirachtin (10,000 ppm @ 7.5 ml/kg)",Field resting,Field resting,Field resting
Rabi,Green gram,Pusa Vishal,February,Field resting,Field resting,Field resting,Field resting
Rabi,Green gram,Pusa Vishal,March,Field resting,Field resting,Field resting,Field resting
Rabi,Sesame,DS-1,October,🌦️ Check Weather | Prepare firm seedbed.,"📅 Book Tractor & Labor | 🌱🧪 🧪 Treat seeds with PSB & Azospirillum and sow at Sow seeds 12 inches apart in rows, with 4 inches between seeds spacing. | Apply 50% Nitrogen and full P & K as First Dose | 🧪 Treat with PSB & Azospirillum",🌱💧 Irrigate lightly after sowing.,Thin seedlings to one per hill.
Rabi,Sesame,DS-1,November,🌱 Weed at 20-25 days after sowing.,🌱 Growth Dose 50% N (3 weeks after sowing).,Check for leaf spot and phyllody.,🧪 Spray if needed. | 🧪 Spray early morning/evening only
Rabi,Sesame,DS-1,December,💧 Irrigate at flowering.,Remove weeds.,🧪 Spray for capsule borer if needed. | 🧪 Spray early morning/evening only,📅 Book Thresher & Labor | ✂️ Plan harvest.
Rabi,Sesame,DS-1,January,Monitor capsule Fully ripe stage | Check root health,Observe leaf yellowing for maturation signals,🔎 Scout for capsule borer | Prepare threshing floor,📅 Book Thresher & Labor | ✂️ Plan for harvest in Feb Week 1 | Stop irrigation
Rabi,Sesame,DS-1,February,📅 Book Thresher & Labor | ✂️ Harvest when capsules yellow and split.,Dry bundles upright for a week.,Thresh on tarpaulin.,Maintain exactly 5% moisture using 700-gauge poly bags to prevent oil degradation
Rabi,Sesame,DS-1,March,🌦️ Check Weather | Clear crop residues.,Prepare land for next crop.,Check stored seed moisture.,Fumigate store if needed.
Kharif,Paddy,MO-4 (Bhadra),June,📅 Book Tractor & Labor | 🌦️ Check Weather | 🚜 Land prep & puddling | 🧪 Apply 200kg/Acre Lime/Dolomite | 🌊 Ensure proper drainage,🌱 Green Manuring | Get small plants ready in trays or bed | 🌊 Ensure proper drainage,Soil testing & compost application,🌱💧 Care for Seedlings | 🌊 Ensure proper drainage
Kharif,Paddy,MO-4 (Bhadra),July,📅 Book Tractor & Labor | 🌱 Transplant (15-18d) | 🧪 Apply Basal Mixture (Urea+DAP+Potash) + 8 kg/Acre Zinc (for green leaves) | ⚠️ Near sea? Check water salinity | 🌊 Ensure proper drainage,🌱💧 Give water after planting | 🌊 Ensure proper drainage,🌱 Gaps/Weeding | 🌊 Ensure proper drainage,💧 Water Saving (Water only if soil is dry)
Kharif,Paddy,MO-4 (Bhadra),August,🧪 Apply 25% N (tillering) split | Pull out weeds | 🧪 Spray early morning/evening only,"🔎⚠️ Scout: BPH (If you see 5-10 in one hill ), Stem Borer (Check for eggs ), Gall Midge (Mahaveer is resistant) | 🔎⚠️ Scout: Blast leaf spots",Pull out weeds,💧🌾 Water Saving (Keep soil moist but not flooded) (about ankle deep)
Kharif,Paddy,MO-4 (Bhadra),September,📅 Book Thresher & Labor | ✂️💧 Remove water before harvest,📅 Book Thresher & Labor | ✂️💧 Do not water near harvest time,📅 Book Thresher & Labor | ✂️ Cut and collect the crop,Dry grain to 14% moisture (Air-tight Bags)
Kharif,Paddy,MO-4 (Bhadra),October,Field resting,Field resting,Field resting,Field resting
Kharif,Paddy,MO-4 (Bhadra),November,Field resting,Field resting,Field resting,Field resting
Kharif,Paddy,MO-4 (Bhadra) [Coastal Zone 10],June,📅 Book Tractor & Labor | 🌦️ Check Weather | 🚜 Land prep & puddling | 🧪 Apply 200kg/Acre Lime/Dolomite | 🌊 Ensure proper drainage,🌱 Green Manuring | Get small plants ready in trays or bed | 🌊 Ensure proper drainage,Soil testing & compost application,🌱💧 Care for Seedlings | 🌊 Ensure proper drainage
Kharif,Paddy,MO-4 (Bhadra) [Coastal Zone 10],July,📅 Book Tractor & Labor | 🌱 Transplant (15-18d) | 🧪 Apply Basal Mixture (Urea+DAP+Potash) + 8 kg/Acre Zinc (for green leaves) | ⚠️ Near sea? Check water salinity | 🌊 Ensure proper drainage,🌱💧 Give water after planting | 🌊 Ensure proper drainage,🌱 Gaps/Weeding | 🌊 Ensure proper drainage,💧 Water Saving (Water only if soil is dry)
Kharif,Paddy,MO-4 (Bhadra) [Coastal Zone 10],August,🧪 Apply 25% N (tillering) split | Pull out weeds | 🧪 Spray early morning/evening only,"🔎⚠️ Scout: BPH (If you see 5-10 in one hill ), Stem Borer (Check for eggs ), Gall Midge (Mahaveer is resistant) | 🔎⚠️ Scout: Blast leaf spots",Pull out weeds,💧🌾 Water Saving (Keep soil moist but not flooded) (about ankle deep)
Kharif,Paddy,MO-4 (Bhadra) [Coastal Zone 10],September,📅 Book Thresher & Labor | ✂️💧 Remove water before harvest,📅 Book Thresher & Labor | ✂️💧 Do not water near harvest time,📅 Book Thresher & Labor | ✂️ Cut and collect the crop,Dry grain to 14% moisture (Air-tight Bags)
Kharif,Paddy,MO-4 (Bhadra) [Coastal Zone 10],October,Field resting,Field resting,Field resting,Field resting
Kharif,Paddy,MO-4 (Bhadra) [Coastal Zone 10],November,Field resting,Field resting,Field resting,Field resting
Kharif,Paddy,Sahyadri Brahma,June,📅 Book Tractor & Labor | 🌦️ Check Weather | 🚜 Land prep & puddling | 🧪 Apply 200kg/Acre Lime/Dolomite | 🌊 Ensure proper drainage,🌱 Green Manuring | Get small plants ready in trays or bed | 🌊 Ensure proper drainage,Soil testing & compost application,🌱💧 Care for Seedlings | 🌊 Ensure proper drainage
Kharif,Paddy,Sahyadri Brahma,July,📅 Book Tractor & Labor | 🌱 Transplant (15-18d) | 🧪 Apply Basal Mixture (Urea+DAP+Potash) + 8 kg/Acre Zinc (for green leaves) | 🌊 Ensure proper drainage,🌱💧 Give water after planting | 🌊 Ensure proper drainage,🌱 Gaps/Weeding | 🌊 Ensure proper drainage,💧 Water Saving (Water only if soil is dry)
Kharif,Paddy,Sahyadri Brahma,August,🧪 Apply 25% N (tillering) split | Pull out weeds | 🧪 Spray early morning/evening only,"🔎⚠️ Scout: BPH (If you see 5-10 in one hill ), Stem Borer (Check for eggs ), Gall Midge (Mahaveer is resistant) | 🔎⚠️ Scout: Blast leaf spots",Pull out weeds,💧🌾 Water Saving (Keep soil moist but not flooded) (about ankle deep)
Kharif,Paddy,Sahyadri Brahma,September,See if grains are starting to grow,🧪🌾 Apply 25% N (Grain forming stage ) | 🧪 Spray early morning/evening only,💧 Manage water based on need,🧪 Spray Tricyclazole for Blast (Prioritize Blast-tolerant varieties like KMP-220) (ETL: 1% leaf area) (ETL 1% leaf area) if needed | 🧪 Spray early morning/evening only
Kharif,Paddy,Sahyadri Brahma,October,📅 Book Thresher & Labor | ✂️💧 Remove water before harvest,📅 Book Thresher & Labor | ✂️ Second week of October: Cut and collect the crop (130-135 days maturity),Thresh and dry grain,Dry grain to 14% moisture (Air-tight Bags)
Kharif,Paddy,Sahyadri Brahma,November,Field resting,Field resting,Field resting,Field resting
Summer,Paddy,Sahyadri Brahma,February,🌦️🧪 Check Weather | Prepare land and test soil and apply compost | 🧪 Spray early morning/evening only,📅 Book Tractor & Labor | 🌱 Green Manuring | Sow seeds in trays or beds | 🧪 Treat with PSB & Azospirillum,💧 Water and care for seedlings,💧 Remove weak seedlings and continue watering
Summer,Paddy,Sahyadri Brahma,March,🌱 Move 15–18 day-old seedlings to main field | 🧪 Apply Fertilizer + 8 kg/Acre Zinc (for green leaves) | 🧪 Spray early morning/evening only,🌱💧 Water newly planted seedlings,🌱 Remove unwanted plants and replace missing ones,💧🌾 Water Saving (Keep soil moist but not flooded)
Summer,Paddy,Sahyadri Brahma,April,,"🔎⚠️ Scout: BPH (If you see 5-10 in one hill ), Stem Borer (Check for eggs ), Blast (Prioritize Blast-tolerant varieties like KMP-220)",🧪 Apply 25% N (tillering) split | Pull out weeds | 🧪 Spray early morning/evening only,🌱 Continue plant care and monitoring
Summer,Paddy,Sahyadri Brahma,May,Check if grains are forming,🧪🌾 Apply 25% N (Grain forming stage ) | 🧪 Spray early morning/evening only,💧 Adjust water based on need,🧪 Spray for Rice Blast (Prioritize Blast-tolerant varieties like KMP-220) (ETL 1% leaf area) and Stem Borer (ETL: 1-2 egg masses/sq.m) | 🧪 Spray early morning/evening only
Summer,Paddy,Sahyadri Brahma,June,📅 Book Thresher & Labor | ✂️💧 Reduce water and stop watering before harvest,📅 Book Thresher & Labor | ✂️ Cut and collect the crop,Dry grain to 14% moisture (Air-tight Bags),Store rice and clean field
Summer,Vegetables,Brinjal (Arka Anand),February,🌦️🌱 Check Weather | Clean and level the land for planting,🧪 Apply specific NPK | Brinjal needs 125:100:50 | 🧪 Spray early morning/evening only,🌱 Mark planting rows / Prepare irrigation,🌱 Start sowing seeds in nursery trays
Summer,Vegetables,Brinjal (Arka Anand),March,📅 Book Tractor & Labor | 🌱 Transplant seedlings to field (if nursery),🌱💧 Give water first time after sowing,🧪 Weed removal | Apply 6 kg/Acre MgSO4 (31 DAS) | 🧪 Spray early morning/evening only,Don’t let soil dry up
Summer,Vegetables,Brinjal (Arka Anand),April,"🧪 Apply Urea for Growth split (e.g., 1/3 of the 50 kg/Acre total) at the fruit initiation stage | 🧪 Spray early morning/evening only",🔎 Scout: BSFB (Pheromone traps 100/ha),Continue irrigation,Remove weeds again
Summer,Vegetables,Brinjal (Arka Anand),May,🧪 Spray Spinosad 45 SC for BSFB | 🧪 Spray early morning/evening only,Irrigation (weather dependent),Check crop often,🧪 Use spray to stop disease | 🧪 Spray early morning/evening only
Summer,Vegetables,Brinjal (Arka Anand),June,"📅 Book Thresher & Labor | ✂️ Harvest when fruit is shiny, firm and medium-sized",📅 Book Thresher & Labor | ✂️ Keep harvest safe and dry,Measure crop yield,Field cleanup
Summer,Vegetables,Chilli (Arka Harita),February,🌦️🌱 Check Weather | Clean and level the land for planting,🧪 Apply specific NPK | 🧪 Spray early morning/evening only,🌱 Mark planting rows / Prepare irrigation,🌱 Start sowing seeds in nursery trays
Summer,Vegetables,Chilli (Arka Harita),March,📅 Book Tractor & Labor | 🌱 Transplant seedlings to field (if nursery),🌱💧 Give water first time after sowing,Weed removal,Don’t let soil dry up
Summer,Vegetables,Chilli (Arka Harita),April,🧪 Apply Fertilizer | 🧪 Spray early morning/evening only,🔎 Scout: Thrips and Mites,Continue irrigation,Remove weeds again
Summer,Vegetables,Chilli (Arka Harita),May,🧪 Spray Fipronil 80% WG or Diafenthiuron | 🧪 Spray early morning/evening only,Irrigation (weather dependent),Check crop often,🧪 Use spray to stop disease | 🧪 Spray early morning/evening only
Summer,Vegetables,Chilli (Arka Harita),June,📅 Book Thresher & Labor | ✂️ Harvesting starts,📅 Book Thresher & Labor | ✂️ Keep harvest safe and dry,Measure crop yield,Field cleanup
Summer,Vegetables,Lady's Finger,February,🌦️🌱 Check Weather | Clean and level the land for planting,🌱🧪 Apply 50% Nitrogen split and full dose of Phosphorus and Potassium as First Dose (62.Fertilizer ) | 🧪 Spray early morning/evening only,🌱 Mark planting rows / Prepare irrigation,🌱 Start sowing seeds in nursery trays
Summer,Vegetables,Lady's Finger,March,📅 Book Tractor & Labor | 🌱 Transplant seedlings to field (if nursery),🌱💧 Give water first time after sowing,Weed removal,🧪 Don’t let soil dry up | Apply 25% Urea for Growth (30 DAS) | 🧪 Spray early morning/evening only
