Season,Crop,Variety,Month,Week 1,Week 2,Week 3,Week 4,Week 1 (KN),Week 2 (KN),Week 3 (KN),Week 4 (KN)
Rabi,Groundnut,TMV-2,February,📅 Book Thresher & Labor | ✂️ Start cutting crop by hand or machine,📅 Book Thresher & Labor | ✂️ Dry pods to 7-8% moisture to prevent Aflatoxin | See how much you harvested,Field resting,Field resting,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ Start cutting crop by hand or machine,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ ಕಾಯಿಗಳನ್ನು ಶೇ. 7-8 ತೇವಾಂಶ ಬರುವವರೆಗೆ ಒಣಗಿಸಿ to ಅಫಲಾಟಾಕ್ಸಿನ್ (ಬೂಷ್ಟು) ಬರದಂತೆ ತಡೆಯಲು | See how much you harvested,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ
Rabi,Groundnut,TMV-2,March,Field resting,Field resting,Field resting,Field resting,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ
Rabi,Groundnut,DH 3-30,October,🌦️ Check Weather | Ready land and give lime to soil,Green Manuring | Soil test & compost | 🧪 Apply 4 kg/Acre Borax (for pod filling) | 🧪 Spray early morning/evening only,Make soft bed for seeds,💧 Give small amount of water,🌦️ ಹವಾಮಾನವನ್ನು ಪರಿಶೀಲಿಸಿ | ಭೂಮಿಯನ್ನು ಸಿದ್ಧಪಡಿಸಿ ಮತ್ತು ಮಣ್ಣಿಗೆ ಸುಣ್ಣ ಅಥವಾ ಡೋಲೊಮೈಟ್ ಹಾಕಿ,ಹಸಿರು ಗೊಬ್ಬರ ಬಳಕೆ | Soil test & compost | 🧪 ಎಕರೆಗೆ 4 ಕೆಜಿ ಬೊರಾಕ್ಸ್ ಹಾಕಿ (ಕಾಯಿ ತುಂಬುವಿಕೆಗಾಗಿ) | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,ಬೀಜ ಬಿತ್ತಲು ಮಣ್ಣನ್ನು ಹದ ಮಾಡಿ,💧 ಅಲ್ಪ ಪ್ರಮಾಣದ ನೀರು ಕೊಡಿ
Rabi,Groundnut,DH 3-30,November,"📅 Book Tractor & Labor | 🌱🧪 Sow (10""x4"") + Apply 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) + Apply 25 kg N First Dose and full dose of P & K at sowing | 🧪 Treat with PSB & Azospirillum",🌱💧 Water when plants start to grow,Remove weeds first time,Monitor moisture,📅 ಟ್ರಾಕ್ಟರ್ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | 🌱🧪 10x4 ಇಂಚು ಅಂತರದಲ್ಲಿ ಬಿತ್ತನೆ ಮಾಡಿ + ಎಕರೆಗೆ 125 ಕೆಜಿ ಜಿಪ್ಸಮ್ ಪುಡಿಯನ್ನು ಹಾಕಿ (ಕಾಯಿಗಳ ಆರೋಗ್ಯಕ್ಕಾಗಿ) ((ಒಟ್ಟು 250 ಕೆಜಿ ಜಿಪ್ಸಮ್‌ನಲ್ಲಿ ಅರ್ಧದಷ್ಟು)) + ಬಿತ್ತನೆ ಸಮಯದಲ್ಲಿ 25 ಕೆಜಿ ಯೂರಿಯಾ ಮತ್ತು ಪೂರ್ಣ ಪ್ರಮಾಣದ ಡಿಎಪಿ/ಪೊಟ್ಯಾಶ್ ಹಾಕಿ | 🧪 ಪಿಎಸ್ಬಿ ಮತ್ತು ಅಜೋಸ್ಪೈರಿಲಮ್ ಜೈವಿಕ ಗೊಬ್ಬರದೊಂದಿಗೆ ಬೀಜೋಪಚಾರ ಮಾಡಿ,🌱💧 ಗಿಡಗಳು ಬೆಳೆಯಲು ಪ್ರಾರಂಭಿಸಿದಾಗ ನೀರು ಕೊಡಿ,ಮೊದಲ ಬಾರಿ ಕಳೆ ತೆಗೆಯಿರಿ,ತೇವಾಂಶವನ್ನು ಗಮನಿಸಿ
Rabi,Groundnut,DH 3-30,December,🧪 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) (30 DAS) | 🧪 Spray early morning/evening only,🔎 Scout: Tikka leaf spot and Rust,Pull out weeds again,Critical moisture: ensure moisture for peg penetration,🧪 125 kg/Acre Gypsum powder (ಕಾಯಿಗಳ ಆರೋಗ್ಯಕ್ಕಾಗಿ) ((ಒಟ್ಟು 250 ಕೆಜಿ ಜಿಪ್ಸಮ್‌ನಲ್ಲಿ ಅರ್ಧದಷ್ಟು)) (ಬಿತ್ತನೆ ಮಾಡಿದ 30 ದಿನಗಳ ನಂತರ) | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,🔎 ಪರಿಶೀಲಿಸಿ: ತಿಕ್ಕಾ ಎಲೆಚುಕ್ಕೆ ಮತ್ತು ತುಕ್ಕು ರೋಗ,ಕಳೆಗಳನ್ನು ಕಿತ್ತೆಸೆಯಿರಿ again,ನಿರ್ಣಾಯಕ ಹಂತ: ಕಾಯಿಗಳು ಮಣ್ಣಿನಲ್ಲಿ ಇಳಿಯಲು ತೇವಾಂಶವಿರುವಂತೆ ನೋಡಿಕೊಳ್ಳಿ
Rabi,Groundnut,DH 3-30,January,🧪 Flowering / pegging period | Apply 10 kg Urea for Growth to maximize pod yield | 💧⚠️ DO NOT allow soil to dry now - critical for pod formation | 🧪 Spray early morning/evening only,See if pods are growing well,🧪 Mature pods or seeds forming | Fungicide/insecticide spray | 🧪 Spray early morning/evening only,📅 Book Thresher & Labor | ✂️💧🔎 Inspect field before cutting | Get ready to drain water before harvest,🧪 ಹೂವಾಡುವ ಮತ್ತು ಕಾಯಿ ಕಟ್ಟುವ ಹಂತ | ಗಿಡದ ಬೆಳವಣಿಗೆಗಾಗಿ 10 ಕೆಜಿ ಯೂರಿಯಾ ಹಾಕಿ to maximize pod yield | 💧⚠️ ಈ ಸಮಯದಲ್ಲಿ ಮಣ್ಣು ಒಣಗಲು ಬಿಡಬೇಡಿ - critical for pod formation | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,See if pods are growing well,🧪 ಕಾಯಿಗಳು ಅಥವಾ ಬೀಜಗಳು ಮಾಗುವ ಹಂತ | ಶಿಲೀಂಧ್ರನಾಶಕ ಅಥವಾ ಕೀಟನಾಶಕ ಸಿಂಪಡಿಸಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️💧🔎 ಕೊಯ್ಲಿಗೆ ಮೊದಲು ಜಮೀನನ್ನು ಪರೀಕ್ಷಿಸಿ | Get ready to drain water before harvest
Rabi,Groundnut,DH 3-30,February,📅 Book Thresher & Labor | ✂️ Start cutting crop by hand or machine,📅 Book Thresher & Labor | ✂️ Dry pods to 7-8% moisture to prevent Aflatoxin | See how much you harvested,Field resting,Field resting,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ Start cutting crop by hand or machine,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ ಕಾಯಿಗಳನ್ನು ಶೇ. 7-8 ತೇವಾಂಶ ಬರುವವರೆಗೆ ಒಣಗಿಸಿ to ಅಫಲಾಟಾಕ್ಸಿನ್ (ಬೂಷ್ಟು) ಬರದಂತೆ ತಡೆಯಲು | See how much you harvested,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ
Rabi,Groundnut,DH 3-30,March,Field resting,Field resting,Field resting,Field resting,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ
Rabi,Groundnut,DH-40,October,🌦️ Check Weather | Ready land and give lime to soil,Green Manuring | Soil test & compost | 🧪 Apply 4 kg/Acre Borax (for pod filling) | 🧪 Spray early morning/evening only,Make soft bed for seeds,💧 Give small amount of water,🌦️ ಹವಾಮಾನವನ್ನು ಪರಿಶೀಲಿಸಿ | ಭೂಮಿಯನ್ನು ಸಿದ್ಧಪಡಿಸಿ ಮತ್ತು ಮಣ್ಣಿಗೆ ಸುಣ್ಣ ಅಥವಾ ಡೋಲೊಮೈಟ್ ಹಾಕಿ,ಹಸಿರು ಗೊಬ್ಬರ ಬಳಕೆ | Soil test & compost | 🧪 ಎಕರೆಗೆ 4 ಕೆಜಿ ಬೊರಾಕ್ಸ್ ಹಾಕಿ (ಕಾಯಿ ತುಂಬುವಿಕೆಗಾಗಿ) | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,ಬೀಜ ಬಿತ್ತಲು ಮಣ್ಣನ್ನು ಹದ ಮಾಡಿ,💧 ಅಲ್ಪ ಪ್ರಮಾಣದ ನೀರು ಕೊಡಿ
Rabi,Groundnut,DH-40,November,"📅 Book Tractor & Labor | 🌱🧪 Sow (10""x4"") + Apply 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) + Apply 25 kg N First Dose and full dose of P & K at sowing | 🧪 Treat with PSB & Azospirillum",🌱💧 Water when plants start to grow,Remove weeds first time,Monitor moisture,📅 ಟ್ರಾಕ್ಟರ್ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | 🌱🧪 10x4 ಇಂಚು ಅಂತರದಲ್ಲಿ ಬಿತ್ತನೆ ಮಾಡಿ + ಎಕರೆಗೆ 125 ಕೆಜಿ ಜಿಪ್ಸಮ್ ಪುಡಿಯನ್ನು ಹಾಕಿ (ಕಾಯಿಗಳ ಆರೋಗ್ಯಕ್ಕಾಗಿ) ((ಒಟ್ಟು 250 ಕೆಜಿ ಜಿಪ್ಸಮ್‌ನಲ್ಲಿ ಅರ್ಧದಷ್ಟು)) + ಬಿತ್ತನೆ ಸಮಯದಲ್ಲಿ 25 ಕೆಜಿ ಯೂರಿಯಾ ಮತ್ತು ಪೂರ್ಣ ಪ್ರಮಾಣದ ಡಿಎಪಿ/ಪೊಟ್ಯಾಶ್ ಹಾಕಿ | 🧪 ಪಿಎಸ್ಬಿ ಮತ್ತು ಅಜೋಸ್ಪೈರಿಲಮ್ ಜೈವಿಕ ಗೊಬ್ಬರದೊಂದಿಗೆ ಬೀಜೋಪಚಾರ ಮಾಡಿ,🌱💧 ಗಿಡಗಳು ಬೆಳೆಯಲು ಪ್ರಾರಂಭಿಸಿದಾಗ ನೀರು ಕೊಡಿ,ಮೊದಲ ಬಾರಿ ಕಳೆ ತೆಗೆಯಿರಿ,ತೇವಾಂಶವನ್ನು ಗಮನಿಸಿ
Rabi,Groundnut,DH-40,December,🧪 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) (30 DAS) | 🧪 Spray early morning/evening only,🔎 Scout: Tikka leaf spot and Rust,Pull out weeds again,Critical moisture: ensure moisture for peg penetration,🧪 125 kg/Acre Gypsum powder (ಕಾಯಿಗಳ ಆರೋಗ್ಯಕ್ಕಾಗಿ) ((ಒಟ್ಟು 250 ಕೆಜಿ ಜಿಪ್ಸಮ್‌ನಲ್ಲಿ ಅರ್ಧದಷ್ಟು)) (ಬಿತ್ತನೆ ಮಾಡಿದ 30 ದಿನಗಳ ನಂತರ) | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,🔎 ಪರಿಶೀಲಿಸಿ: ತಿಕ್ಕಾ ಎಲೆಚುಕ್ಕೆ ಮತ್ತು ತುಕ್ಕು ರೋಗ,ಕಳೆಗಳನ್ನು ಕಿತ್ತೆಸೆಯಿರಿ again,ನಿರ್ಣಾಯಕ ಹಂತ: ಕಾಯಿಗಳು ಮಣ್ಣಿನಲ್ಲಿ ಇಳಿಯಲು ತೇವಾಂಶವಿರುವಂತೆ ನೋಡಿಕೊಳ್ಳಿ
Rabi,Groundnut,DH-40,January,🧪 Flowering / pegging period | Apply 10 kg Urea for Growth to maximize pod yield | 💧⚠️ DO NOT allow soil to dry now - critical for pod formation | 🧪 Spray early morning/evening only,See if pods are growing well,🧪 Mature pods or seeds forming | Fungicide/insecticide spray | 🧪 Spray early morning/evening only,📅 Book Thresher & Labor | ✂️💧🔎 Inspect field before cutting | Get ready to drain water before harvest,🧪 ಹೂವಾಡುವ ಮತ್ತು ಕಾಯಿ ಕಟ್ಟುವ ಹಂತ | ಗಿಡದ ಬೆಳವಣಿಗೆಗಾಗಿ 10 ಕೆಜಿ ಯೂರಿಯಾ ಹಾಕಿ to maximize pod yield | 💧⚠️ ಈ ಸಮಯದಲ್ಲಿ ಮಣ್ಣು ಒಣಗಲು ಬಿಡಬೇಡಿ - critical for pod formation | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,See if pods are growing well,🧪 ಕಾಯಿಗಳು ಅಥವಾ ಬೀಜಗಳು ಮಾಗುವ ಹಂತ | ಶಿಲೀಂಧ್ರನಾಶಕ ಅಥವಾ ಕೀಟನಾಶಕ ಸಿಂಪಡಿಸಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️💧🔎 ಕೊಯ್ಲಿಗೆ ಮೊದಲು ಜಮೀನನ್ನು ಪರೀಕ್ಷಿಸಿ | Get ready to drain water before harvest
